,Name,Genre
1,'98 Koshien,8
2,.hack//G.U. Vol.1//Rebirth,8
3,.hack//G.U. Vol.2//Reminisce,8
4,.hack//G.U. Vol.2//Reminisce (jp sales),8
5,.hack//G.U. Vol.3//Redemption,8
6,.hack//Infection Part 1,8
7,.hack//Link,8
8,.hack//Mutation Part 2,8
9,.hack//Outbreak Part 3,8
10,.hack//Quarantine Part 4: The Final Chapter,1
11,.hack: Sekai no Mukou ni + Versus,7
12,007 Racing,1
13,007: Quantum of Solace,1
14,007: The World is not Enough,9
15,007: Tomorrow Never Dies,4
16,1 vs. 100,2
17,1/2 Summer +,11
18,10 Minute Solution,6
19,100 All-Time Favorites,4
20,100 Classic Books,4
21,100 Classic Games,4
22,1000 Cooking Recipes from ELLE à table,1
23,1001 Touch Games,6
24,101-in-1 Explosive Megamix,4
25,101-in-1 Party Megamix Wii,11
26,101-in-1 Sports Megamix,11
27,101-in-1 Sports Party Megamix,11
28,1080°: TenEighty Snowboarding,2
29,11eyes: CrossOver,2
30,12-Sai. Honto no Kimochi,2
31,12-Sai. Koisuru Diary,2
32,12Riven: The Psi-Climinal of Integral,2
33,15 Days,10
34,1701 A.D.,7
35,18 Wheeler: American Pro Trucker,7
36,18 Wheels of Steel: Extreme Trucker,7
37,18 Wheels of Steel: Extreme Trucker 2,7
38,187: Ride or Die,9
39,1942,7
40,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,1
41,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,4
42,2 Games in 1: Disney Princess & The Lion King,1
43,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,4
44,2 Games in 1: Sonic Advance & ChuChu Rocket!,4
45,2 Games in 1: Sonic Battle & ChuChu Rocket!,4
46,2 Games in 1: Sonic Pinball Party & Columns Crown,5
47,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,4
48,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,5
49,2-in-1 Game Pack: Spider-Man & Spider-Man 2,11
50,2002 FIFA World Cup,11
51,2010 FIFA World Cup South Africa,11
52,2014 FIFA World Cup Brazil,2
53,24: The Game,9
54,25 to Life,11
55,2Xtreme,4
56,"3 in 1: Solitaire, Mahjong & Tangram",1
57,300: March to Glory,11
58,3D Baseball,8
59,3D Dot Game Heroes,6
60,3D Lemmings,10
61,3D Tank Warfare Simulator Panzer Front,4
62,3DS Classic Collection,1
63,3Xtreme,8
64,3rd Super Robot Wars Z Jigoku Hen,1
65,3rd Super Robot Wars Z: Tengoku-Hen,6
66,4 Elements,4
67,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,4
68,4 Nin uchi Mahjong,5
69,40 Winks,2
70,428: Fuusa Sareta Shibuya de,7
71,4x4 EVO 2,7
72,4x4 Evolution,9
73,50 Cent: Blood on the Sand,1
74,50 Cent: Bulletproof,4
75,50 Classic Games,4
76,64 de Hakken! Tamagotchi Minna de Tamagotchi World,1
77,7 Days to Die,4
78,7 Roses: A Darkness Rises,6
79,7 Wonders II,6
80,7 Wonders of the Ancient World,6
81,7 Wonders: Treasures of Seven,8
